51, ,ARC402,ARC,TBA,10.0,01,Su(02:00 PM-04:00 PM-UB40901) Su(04:10 PM-05:05 PM-UB40901) Su(09:00 AM-01:10 PM-UB40903) Th(09:00 AM-01:10 PM-UB40903) Tu(09:00 AM-01:10 PM-UB40903),40,21,19
52, ,ARC432,ARC,TBA,2.0,01,Mo(02:00 PM-02:55 PM-UB40903) We(02:00 PM-02:55 PM-UB40903),40,29,11
53, ,ARC491,ARC,TBA,2.0,01,Su(02:00 PM-02:55 PM-UB40901) Tu(02:00 PM-02:55 PM-UB40901),40,14,26
54, ,ARC493,ARC,TBA,2.0,01,Mo(12:15 PM-01:10 PM-UB40901) We(12:15 PM-01:10 PM-UB40901),40,41,-1
55, ,ARC512,ARC,TBA,1.5,01,Mo(02:00 PM-05:05 PM-UB40902),40,37,3
56, ,ARC522,ARC,TBA,2.0,01,Mo(11:10 AM-12:05 PM-UB40903) We(11:10 AM-12:05 PM-UB40903),40,7,33
57, ,ARC541,ARC,TBA,2.0,01,Mo(10:05 AM-11:00 AM-UB40902) We(10:05 AM-11:00 AM-UB40902),40,24,16
58, ,BCH101,BIO,TBA,3.0,01,Mo(12:30 PM-01:50 PM-UB10203) We(12:30 PM-01:50 PM-UB10203),40,5,35
59, ,BCH101,BIO,TBA,3.0,02,Mo(03:30 PM-04:50 PM-UB10203) We(03:30 PM-04:50 PM-UB10203),40,1,39
60, ,BCH102,MIC,TBA,3.0,01,Sa(09:30 AM-10:50 AM-UB10204) Th(09:30 AM-10:50 AM-UB10204),40,6,34
61, ,BCH102,MIC,TBA,3.0,02,Mo(11:00 AM-12:20 PM-UB10204) We(11:00 AM-12:20 PM-UB10204),40,6,34
62, ,BCH201,MIC,MHN,3.0,01,Mo(11:00 AM-12:20 PM-UB10202) We(11:00 AM-12:20 PM-UB10202),40,16,24
63, ,BCH201,MIC,MHN,3.0,02,Su(02:00 PM-03:20 PM-UB10202) Tu(02:00 PM-03:20 PM-UB10202),40,12,28
64, ,BCH202,MIC,FKM,3.0,01,Mo(12:30 PM-01:50 PM-UB10202) We(12:30 PM-01:50 PM-UB10202),40,40,0
65, ,BIO101,MAT,TBA,3.0,01,Mo(03:30 PM-04:50 PM-UB10201) We(03:30 PM-04:50 PM-UB10201),40,17,23
66, ,BIO101,MAT,TBA,3.0,02,Sa(02:00 PM-03:20 PM-UB10202) Th(02:00 PM-03:20 PM-UB10202),40,7,33
67, ,BIO101,MAT,TBA,3.0,03,Sa(11:00 AM-12:20 PM-UB10202) Th(11:00 AM-12:20 PM-UB10202),40,3,37
68, ,BIO101,MAT,HZM,3.0,04,Su(08:00 AM-09:20 AM-UB10201) Tu(08:00 AM-09:20 AM-UB10201),40,40,0
69, ,BIO101,MAT,TBA,3.0,05,Sa(11:00 AM-12:20 PM-UB10203) Th(11:00 AM-12:20 PM-UB10203),40,1,39
70, ,BIO101,MAT,TBA,3.0,06,Sa(12:30 PM-01:50 PM-UB10203) Th(12:30 PM-01:50 PM-UB10203),40,3,37
71, ,BIO101,MAT,TBA,3.0,07,Sa(03:30 PM-04:50 PM-UB10203) Th(03:30 PM-04:50 PM-UB10203),40,1,39
72, ,BIO101,MAT,TBA,3.0,08,Su(08:00 AM-09:20 AM-UB10203) Tu(08:00 AM-09:20 AM-UB10203),40,27,13
73, ,BIO101,MAT,TBA,3.0,09,Su(11:00 AM-12:20 PM-UB10203) Tu(11:00 AM-12:20 PM-UB10203),40,25,15
74, ,BIO101,MAT,TBA,3.0,10,Sa(08:00 AM-09:20 AM-UB10204) Th(08:00 AM-09:20 AM-UB10204),40,6,34
75, ,BIO101,MAT,TBA,3.0,11,Sa(11:00 AM-12:20 PM-UB10204) Th(11:00 AM-12:20 PM-UB10204),40,3,37
76, ,BIO101,MAT,TBA,3.0,12,Su(09:30 AM-10:50 AM-UB10204) Tu(09:30 AM-10:50 AM-UB10204),40,11,29
77, ,BIO101,MAT,TBA,3.0,13,Mo(09:30 AM-10:50 AM-UB10204) We(09:30 AM-10:50 AM-UB10204),40,9,31
78, ,BIO101,MAT,TBA,3.0,14,Mo(12:30 PM-01:50 PM-UB10204) We(12:30 PM-01:50 PM-UB10204),40,8,32
79, ,BTC501,MS IN BIO,TBA,3.0,01,Mo(06:00 PM-09:00 PM-UB21511),40,0,40
80, ,BTC503,MS IN BIO,TBA,3.0,01,Th(06:00 PM-09:00 PM-UB21511),40,0,40
81, ,BTC504,MS IN BIO,TBA,3.0,01,Su(06:00 PM-09:00 PM-UB21511),40,0,40
82, ,BTC550,MS IN BIO,TAJ,6.0,01,Fr(06:00 PM-09:00 PM-UB21511),40,0,40
83, ,BTE101,BIO,TBA,3.0,01,Sa(09:30 AM-10:50 AM-UB10203) Th(09:30 AM-10:50 AM-UB10203),40,5,35
84, ,BTE102,BIO,TBA,3.0,01,Sa(02:00 PM-03:20 PM-UB10203) Th(02:00 PM-03:20 PM-UB10203),40,0,40
85, ,BTE102,BIO,TBA,3.0,02,Su(12:30 PM-01:50 PM-UB10204) Tu(12:30 PM-01:50 PM-UB10204),40,2,38
86, ,BTE103,BIO,TBA,3.0,01,Sa(08:00 AM-09:20 AM-UB10203) Th(08:00 AM-09:20 AM-UB10203),40,7,33
87, ,BTE155,BIO,TBA,3.0,01,Tu(11:00 AM-12:20 PM-UB21006) Tu(12:30 PM-01:50 PM-UB21006),10,10,0
88, ,BTE201,BIO,TBA,3.0,01,Su(11:00 AM-12:20 PM-UB10204) Tu(11:00 AM-12:20 PM-UB10204),40,23,17
89, ,BTE202,BIO,TBA,3.0,01,Mo(02:00 PM-03:20 PM-UB10204) We(02:00 PM-03:20 PM-UB10204),40,12,28
90, ,BTE203,BIO,TBA,3.0,01,Su(03:30 PM-04:50 PM-UB10204) Tu(03:30 PM-04:50 PM-UB10204),40,18,22
91, ,BTE204,BIO,TBA,3.0,01,Su(12:30 PM-01:50 PM-UB10203) Tu(12:30 PM-01:50 PM-UB10203),40,15,25
92, ,BTE255,BIO,TBA,3.0,01,Mo(02:00 PM-03:20 PM-UB21002) Mo(03:30 PM-04:50 PM-UB21002),10,10,0
